Temp(K)	Res(\muOhmcm)
83.64915	69.1738912702731
84.44475	70.0574211730815
85.27355	70.9389629060302
86.05105	71.7858311850924
86.85895	72.6531945057659
87.7084	73.5530870301436
88.51535	74.4201722685665
89.2804	75.2451942101944
90.1223	76.1427243987072
90.94515	77.0246729473137
91.7538	77.874933078152
92.5681	78.6995242319888
93.37785	79.5610781255751
94.17525	80.3674707244287
95.00815	81.2419869717055
95.79655	82.0573087307835
96.6254	82.9162078445629
97.4004	83.7330956550928
98.245	84.5673462683392
99.0242	85.3386562860164
99.8625	86.1793164798435
100.67265	86.9925578282351
101.485	87.7956606942179
102.30685	88.5982532765069
103.08355	89.3698636811975
103.93025	90.181122854815
104.7421	90.9432428432102
105.52305	91.6900444172037
106.3424	92.4904503988184
107.1427	93.2736532594694
107.9682	94.0024933040119
108.77435	94.7866879178711
109.6021	95.5442806763417
110.4126	96.269232087907
111.2166	97.0030821296223
112.0392	97.7469527681102
112.8344	98.4740798571097
113.6504	99.206974048156
114.44235	99.9327315264843
115.28095	100.659961931747
116.0714	101.376644030048
116.8986	102.09547078523
117.72095	102.818242270219
118.5099	103.520463031823
119.31125	104.195175928895
120.13505	104.89537326059
120.94665	105.552413975043
121.73825	106.204868950866
122.5902	106.933338896323
123.3499	107.566656155275
124.1581	108.240560041721
124.9894	108.936215476555
125.7908	109.587413615429
126.6196	110.261915065664
127.4531	110.893323585519
127.9746	111.304024635883
128.55545	111.806957884156
129.34915	112.441618560552
130.14065	113.072823316935
130.95295	113.701733496446
131.7531	114.331601194726
132.32215	114.772910258353
133.1248	115.389321497965
133.9246	115.994924782543
134.7594	116.64091191191
135.28895	117.0356207851
136.093	117.631866723297
136.6654	118.067478427444
137.42455	118.662175803526
138.2662	119.263799233894
139.07035	119.866674683449
139.856	120.435003431113
140.68405	121.044562176372
141.48155	121.60798930958
142.0527	122.044612089222
142.8303	122.586205179986
143.65	123.193213199774
144.4759	123.768780541598
145.03675	124.167105972631
145.8201	124.710689339041
146.63555	125.266153805297
147.2026	125.657739517021
147.9832	126.193945608765
148.5393	126.600023905666
149.0567	126.929147345945
149.6188	127.310183442162
150.41455	127.856865479867
151.21285	128.383381983243
152.03865	128.927908600983
152.83535	129.466701520996
153.6733	130.016070191066
154.4636	130.527715691361
155.29265	131.071111739501
155.83175	131.43134331949
156.6238	131.958538311973
157.46045	132.497716607032
158.2627	133.009706154532
158.8209	133.347629004321
159.59855	133.843653656784
160.421	134.364836935735
161.23165	134.8599387847
161.7848	135.197610510004
162.56265	135.713295231843
163.40665	136.214819947108
164.2063	136.670372915695
165.0271	137.180016861273
165.7933	137.649453051447
166.0883	137.830034146821
166.38565	137.99252604997
166.89705	138.315804991202
166.90445	138.306787800502
167.4743	138.639667286319
167.73425	138.815257714088
167.99965	138.955895252912
168.53635	139.278121945723
168.81015	139.452685718382
169.36245	139.784679987865
169.6253	139.923096308304
170.15635	140.228796969014
170.15715	140.230240256079
170.7212	140.536630658448
170.9729	140.704737740296
171.49445	141.007521340249
171.7751	141.163665098979
172.3098	141.449983283589
172.6084	141.61370245849
173.1351	141.927513622436
173.40015	142.09040194922
173.92455	142.365409751395
174.22155	142.539334750602
174.7454	142.812978900589
174.7797	142.836697402603
175.53575	143.2887460926
175.5508	143.274327150155
176.1	143.578281160834
176.36215	143.727467017921
176.6379	143.879036635131
177.16895	144.183677758981
177.43835	144.296925265457
178.0181	144.628505329693
178.2696	144.751724511741
178.8025	145.0557364845
179.06005	145.1748063679
179.60455	145.507302598583
179.87815	145.627612228474
180.40965	145.930267576695
180.69905	146.061702251927
181.2168	146.37806034511
181.4964	146.501438348067
182.03445	146.80556440232
182.0664	146.803129578347
182.84555	147.223434701195
182.88335	147.24514907716
183.4033	147.517517137244
183.6717	147.6666276726
183.94555	147.797317775938
184.47665	148.092039147297
184.48935	148.085470249491
185.27715	148.490273202108
185.2894	148.519381784413
185.8264	148.780600780516
186.10595	148.922410436682
186.37285	149.039575740158
186.9075	149.331040614658
186.9181	149.330513464845
187.44485	149.607347072259
187.7212	149.765879892612
187.9872	149.877403266362
188.5225	150.155185539307
188.5241	150.152792584534
189.0771	150.437667719197
189.3319	150.563306288717
189.61335	150.709946961366
190.134	150.969721350182
190.13905	150.962458892721
190.7102	151.230990366334
190.95675	151.369025635234
191.2261	151.490116729587
191.7752	151.764078460539
191.78495	151.791857167016
192.33615	152.044510503512
192.58635	152.198262019876
192.87235	152.298476765035
193.3997	152.572142377218
193.40305	152.594901587349
193.9448	152.847792829299
194.20545	152.990380234653
194.48695	153.105370289702
195.00575	153.369705083757
195.033	153.387763534815
195.58095	153.645673925923
195.84	153.772874394393
196.1093	153.899599800281
196.6582	154.144957632745
196.6689	154.185176406619
197.20525	154.462702156666
197.4472	154.551053230481
197.75615	154.703228168146
198.27085	154.933081293679
198.31155	154.918122024911
198.85695	155.187094873559
199.06095	155.30378712927
199.40605	155.455585013324
199.67925	155.610312350775
199.88165	155.708597039699
200.5495	156.01704421553
200.70015	156.080487148613
201.5026	156.47228952537
202.3023	156.830070514289
203.1328	157.220333850376
203.96335	157.599656808429
204.76875	157.95384970791
205.566	158.312415371467
206.36105	158.690743187957
207.17475	159.062746513217
207.97805	159.398635311634
208.7929	159.781092430565
209.6064	160.1540927848
210.41885	160.492208805329
211.2415	160.840910750115
212.0401	161.216989515014
212.6581	161.509269556701
213.6654	161.976736419646
214.4774	162.309480612576
215.2799	162.619491856847
216.10005	162.976673002415
216.92095	163.33456768686
217.70585	163.652094245543
218.52855	164.005041983268
219.3441	164.324315450525
220.13315	164.649655802479
220.9597	164.989893618412
221.76015	165.327995023087
222.58435	165.669096660083
223.4051	165.985161292723
224.2232	166.322734092988
225.0436	166.626684571284
225.8084	166.949931675964
226.63425	167.274919377347
227.4388	167.599922125879
228.25045	167.903100962508
229.09415	168.215313638618
229.869	168.546028587531
230.6892	168.873581564943
231.52325	169.158761162505
232.32215	169.470185788393
233.10105	169.787471904563
233.93795	170.090740015864
234.74715	170.398899815766
235.55745	170.702512210942
236.3777	171.038437464863
237.18965	171.330192524302
237.994	171.604033362463
238.8165	171.91795917909
239.59265	172.200059636668
240.4306	172.53949373203
241.23585	172.798256460145
242.04785	173.063546517822
242.8397	173.355087275902
243.6898	173.684255745881
244.47225	173.971864497251
245.27925	174.238685549752
246.11755	174.526151926539
246.9107	174.825504319587
247.7041	175.102883865343
248.52265	175.402922244297
249.3767	175.701949662935
250.16415	175.934032138483
250.9723	176.204104594644
251.7764	176.483559317489
252.571	176.764460001453
253.38225	177.020658932741
254.17695	177.28650303955
255.0302	177.596711116997
255.8403	177.83612080575
256.6501	178.115717507265
257.437	178.388072702846
258.2363	178.682284062378
259.0696	178.926489067098
259.8577	179.157541344463
260.6907	179.43434058341
261.4772	179.701398351008
262.28085	179.966173314119
263.08545	180.222413642186
263.8994	180.456159648126
